result/msr_web_2.oracleGeneral.zst               S4LRU(25:25:25:25) cache size     3963, 5175368 req, miss ratio 0.9934, byte miss ratio 0.9934
result/msr_web_2.oracleGeneral.zst               S4LRU(25:25:25:25) cache size    13212, 5175368 req, miss ratio 0.9867, byte miss ratio 0.9867
result/msr_web_2.oracleGeneral.zst               S4LRU(25:25:25:25) cache size    39638, 5175368 req, miss ratio 0.9674, byte miss ratio 0.9674
result/msr_web_2.oracleGeneral.zst               S4LRU(25:25:25:25) cache size   132127, 5175368 req, miss ratio 0.9002, byte miss ratio 0.9002
result/msr_web_2.oracleGeneral.zst               S4LRU(25:25:25:25) cache size   264254, 5175368 req, miss ratio 0.8012, byte miss ratio 0.8012
result/msr_web_2.oracleGeneral.zst               S4LRU(25:25:25:25) cache size   528508, 5175368 req, miss ratio 0.6051, byte miss ratio 0.6051
result/msr_web_2.oracleGeneral.zst               S4LRU(25:25:25:25) cache size  1057016, 5175368 req, miss ratio 0.5426, byte miss ratio 0.5426
result/msr_web_2.oracleGeneral.zst                  S3FIFO-0.1000-2 cache size     1321, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
result/msr_web_2.oracleGeneral.zst                  S3FIFO-0.1000-2 cache size     3963, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
result/msr_web_2.oracleGeneral.zst                  S3FIFO-0.1000-2 cache size    13212, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
result/msr_web_2.oracleGeneral.zst                  S3FIFO-0.1000-2 cache size    39638, 5175368 req, miss ratio 0.9818, byte miss ratio 0.9818
result/msr_web_2.oracleGeneral.zst                  S3FIFO-0.1000-2 cache size   132127, 5175368 req, miss ratio 0.9925, byte miss ratio 0.9925
result/msr_web_2.oracleGeneral.zst                  S3FIFO-0.1000-2 cache size   264254, 5175368 req, miss ratio 0.9920, byte miss ratio 0.9920
result/msr_web_2.oracleGeneral.zst                  S3FIFO-0.1000-2 cache size   528508, 5175368 req, miss ratio 0.6487, byte miss ratio 0.6487
result/msr_web_2.oracleGeneral.zst                  S3FIFO-0.1000-2 cache size  1057016, 5175368 req, miss ratio 0.4357, byte miss ratio 0.4357

